Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,Pej,NONE,Loc,ninaanenzhishinaang,n<<naan>>enzhishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,Pej,NONE,Loc,ginaanenzhishinaang,g<<naan>>enzhishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,Pej,NONE,Loc,ginaanenzhishing,g<<naan>>enzhishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,Pej,NONE,Loc,ginaanenzhishiwaang,g<<naan>>enzhishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,Pej,NONE,Loc,onaanenzhishing,w<<naan>>enzhishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,Pej,NONE,Loc,onaanenzhishiwaang,w<<naan>>enzhishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,onaanenzhishining,w<<naan>>enzhishining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,onaanenzhishining,w<<naan>>enzhishining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,NONE,Poss,NONE,NONE,Loc,ninaaniming,n<<naan>>iming,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,NONE,Poss,NONE,NONE,Loc,ninaaniminaang,n<<naan>>iminaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,NONE,Poss,NONE,NONE,Loc,ginaaniminaang,g<<naan>>iminaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,NONE,Poss,NONE,NONE,Loc,ginaaniming,g<<naan>>iming,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,NONE,Poss,NONE,NONE,Loc,ginaanimiwaang,g<<naan>>imiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,Poss,NONE,NONE,Loc,onaaniming,w<<naan>>iming,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,Poss,NONE,NONE,Loc,onaanimiwaang,w<<naan>>imiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,Poss,NONE,NONE,Loc,onaanimining,w<<naan>>imining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,Poss,NONE,NONE,Loc,onaanimining,w<<naan>>imining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,Dim,Poss,NONE,NONE,Loc,ninaanensiming,n<<naan>>ensiming,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,Dim,Poss,NONE,NONE,Loc,ninaanensiminaang,n<<naan>>ensiminaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,Dim,Poss,NONE,NONE,Loc,ginaanensiminaang,g<<naan>>ensiminaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,Dim,Poss,NONE,NONE,Loc,ginaanensiming,g<<naan>>ensiming,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,Dim,Poss,NONE,NONE,Loc,ginaanensimiwaang,g<<naan>>ensimiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,onaanensiming,w<<naan>>ensiming,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,onaanensimiwaang,w<<naan>>ensimiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,onaanensimining,w<<naan>>ensimining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,onaanensimining,w<<naan>>ensimining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,NONE,Poss,Pej,NONE,Loc,ninaanimishing,n<<naan>>imishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,NONE,Poss,Pej,NONE,Loc,ninaanimishinaang,n<<naan>>imishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,NONE,Poss,Pej,NONE,Loc,ginaanimishinaang,g<<naan>>imishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,NONE,Poss,Pej,NONE,Loc,ginaanimishing,g<<naan>>imishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,NONE,Poss,Pej,NONE,Loc,ginaanimishiwaang,g<<naan>>imishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,Poss,Pej,NONE,Loc,onaanimishing,w<<naan>>imishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,Poss,Pej,NONE,Loc,onaanimishiwaang,w<<naan>>imishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,Poss,Pej,NONE,Loc,onaanimishining,w<<naan>>imishining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,Poss,Pej,NONE,Loc,onaanimishining,w<<naan>>imishining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,Dim,Poss,Pej,NONE,Loc,ninaanensimishing,n<<naan>>ensimishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,Dim,Poss,Pej,NONE,Loc,ninaanensimishinaang,n<<naan>>ensimishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,Dim,Poss,Pej,NONE,Loc,ginaanensimishinaang,g<<naan>>ensimishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,Dim,Poss,Pej,NONE,Loc,ginaanensimishing,g<<naan>>ensimishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,Dim,Poss,Pej,NONE,Loc,ginaanensimishiwaang,g<<naan>>ensimishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,onaanensimishing,w<<naan>>ensimishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,onaanensimishiwaang,w<<naan>>ensimishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,onaanensimishining,w<<naan>>ensimishining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,onaanensimishining,w<<naan>>ensimishining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,ninaana',n<<naan>>a',JDN-2010-Nouns,ninaanan,n<<naan>>an,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,ninaaninaani',n<<naan>>inaani',JDN-2010-Nouns,ninaaninaanin,n<<naan>>inaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,NONE,NONE,ObvPl,ginaaninaani',g<<naan>>inaani',JDN-2010-Nouns,ginaaninaanin,g<<naan>>inaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,ginaana',g<<naan>>a',JDN-2010-Nouns,ginaanan,g<<naan>>an,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,ginaaniwaa',g<<naan>>iwaa',JDN-2010-Nouns,ginaaniwaan,g<<naan>>iwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,onaana',w<<naan>>a',JDN-2010-Nouns,onaanan,w<<naan>>an,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,onaaniwaa',w<<naan>>iwaa',JDN-2010-Nouns,onaaniwaan,w<<naan>>iwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,onaanini,w<<naan>>iniw1,JDN-2010-Nouns,onaanini,w<<naan>>iniw1,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,onaanini,w<<naan>>iniw1,GUESS,onaanini,w<<naan>>iniw1,GUESS
NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,ninaanensa',n<<naan>>ensa',JDN-2010-Nouns,ninaanensan,n<<naan>>ensan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,NONE,ObvPl,ninaanensinaani',n<<naan>>ensinaani',JDN-2010-Nouns,ninaanensinaanin,n<<naan>>ensinaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,NONE,ObvPl,ginaanensinaani',g<<naan>>ensinaani',JDN-2010-Nouns,ginaanensinaanin,g<<naan>>ensinaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,NONE,ObvPl,ginaanensa',g<<naan>>ensa',JDN-2010-Nouns,ginaanensan,g<<naan>>ensan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,ginaanensiwaa',g<<naan>>ensiwaa',JDN-2010-Nouns,ginaanensiwaan,g<<naan>>ensiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensa',w<<naan>>ensa',JDN-2010-Nouns,onaanensan,w<<naan>>ensan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensiwaa',w<<naan>>ensiwaa',JDN-2010-Nouns,onaanensiwaan,w<<naan>>ensiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensini,w<<naan>>ensiniw1,JDN-2010-Nouns,onaanensini,w<<naan>>ensiniw1,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,NONE,NONE,ObvPl,onaanensini,w<<naan>>ensiniw1,GUESS,onaanensini,w<<naan>>ensiniw1,GUESS
NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,ninaanisha',n<<naan>>isha',JDN-2010-Nouns,ninaanishan,n<<naan>>ishan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,Pej,NONE,ObvPl,ninaanishinaani',n<<naan>>ishinaani',JDN-2010-Nouns,ninaanishinaanin,n<<naan>>ishinaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,Pej,NONE,ObvPl,ginaanishinaani',g<<naan>>ishinaani',JDN-2010-Nouns,ginaanishinaanin,g<<naan>>ishinaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,Pej,NONE,ObvPl,ginaanisha',g<<naan>>isha',JDN-2010-Nouns,ginaanishan,g<<naan>>ishan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,ginaanishiwaa',g<<naan>>ishiwaa',JDN-2010-Nouns,ginaanishiwaan,g<<naan>>ishiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,NONE,Pej,NONE,ObvPl,onaanisha',w<<naan>>isha',JDN-2010-Nouns,onaanishan,w<<naan>>ishan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,NONE,Pej,NONE,ObvPl,onaanishiwaa',w<<naan>>ishiwaa',JDN-2010-Nouns,onaanishiwaan,w<<naan>>ishiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,NONE,Pej,NONE,ObvPl,onaanishini,w<<naan>>ishiniw1,JDN-2010-Nouns,onaanishini,w<<naan>>ishiniw1,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,NONE,Pej,NONE,ObvPl,onaanishini,w<<naan>>ishiniw1,GUESS,onaanishini,w<<naan>>ishiniw1,GUESS
NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,NONE,Pret,ObvPl,ninaanibanii',n<<naan>>ibanii',JDN-2010-Nouns,ninaanibaniin,n<<naan>>ibaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,NONE,Pret,ObvPl,ninaaninaabanii',n<<naan>>inaabanii',JDN-2010-Nouns,ninaaninaabaniin,n<<naan>>inaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,NONE,Pret,ObvPl,ginaaninaabanii',g<<naan>>inaabanii',JDN-2010-Nouns,ginaaninaabaniin,g<<naan>>inaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,NONE,Pret,ObvPl,ginaanibanii',g<<naan>>ibanii',JDN-2010-Nouns,ginaanibaniin,g<<naan>>ibaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,NONE,Pret,ObvPl,ginaaniwaabanii',g<<naan>>iwaabanii',JDN-2010-Nouns,ginaaniwaabaniin,g<<naan>>iwaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,NONE,NONE,Pret,ObvPl,onaanibanii',w<<naan>>ibanii',JDN-2010-Nouns,onaanibaniin,w<<naan>>ibaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,NONE,NONE,Pret,ObvPl,onaaniwaabanii',w<<naan>>iwaabanii',JDN-2010-Nouns,onaaniwaabaniin,w<<naan>>iwaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,NONE,NONE,Pret,ObvPl,onaaniniban,w<<naan>>iniban,JDN-2010-Nouns,onaaniniban,w<<naan>>iniban,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,NONE,NONE,Pret,ObvPl,onaaniniban,w<<naan>>iniban,GUESS,onaaniniban,w<<naan>>iniban,GUESS
NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,Pret,ObvPl,ninaanensibanii',n<<naan>>ensibanii',JDN-2010-Nouns,ninaanensibaniin,n<<naan>>ensibaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,Pret,ObvPl,ninaanensinaabanii',n<<naan>>ensinaabanii',JDN-2010-Nouns,ninaanensinaabaniin,n<<naan>>ensinaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,Pret,ObvPl,ginaanensinaabanii',g<<naan>>ensinaabanii',JDN-2010-Nouns,ginaanensinaabaniin,g<<naan>>ensinaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,Pret,ObvPl,ginaanensibanii',g<<naan>>ensibanii',JDN-2010-Nouns,ginaanensibaniin,g<<naan>>ensibaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,Pret,ObvPl,ginaanensiwaabanii',g<<naan>>ensiwaabanii',JDN-2010-Nouns,ginaanensiwaabaniin,g<<naan>>ensiwaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,NONE,Pret,ObvPl,onaanensibanii',w<<naan>>ensibanii',JDN-2010-Nouns,onaanensibaniin,w<<naan>>ensibaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,NONE,Pret,ObvPl,onaanensiwaabanii',w<<naan>>ensiwaabanii',JDN-2010-Nouns,onaanensiwaabaniin,w<<naan>>ensiwaabaniin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,NONE,Pret,ObvPl,onaanensiniban,w<<naan>>ensiniban,JDN-2010-Nouns,onaanensiniban,w<<naan>>ensiniban,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,NONE,Pret,ObvPl,onaanensiniban,w<<naan>>ensiniban,GUESS,onaanensiniban,w<<naan>>ensiniban,GUESS
NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,Pej,NONE,ObvPl,ninaanenzhisha',n<<naan>>enzhisha',JDN-2010-Nouns,ninaanenzhishan,n<<naan>>enzhishan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,Pej,NONE,ObvPl,ninaanenzhishinaani',n<<naan>>enzhishinaani',JDN-2010-Nouns,ninaanenzhishinaanin,n<<naan>>enzhishinaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,Pej,NONE,ObvPl,ginaanenzhishinaani',g<<naan>>enzhishinaani',JDN-2010-Nouns,ginaanenzhishinaanin,g<<naan>>enzhishinaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,Pej,NONE,ObvPl,ginaanenzhisha',g<<naan>>enzhisha',JDN-2010-Nouns,ginaanenzhishan,g<<naan>>enzhishan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,Pej,NONE,ObvPl,ginaanenzhishiwaa',g<<naan>>enzhishiwaa',JDN-2010-Nouns,ginaanenzhishiwaan,g<<naan>>enzhishiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,Pej,NONE,ObvPl,onaanenzhisha',w<<naan>>enzhisha',JDN-2010-Nouns,onaanenzhishan,w<<naan>>enzhishan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,Pej,NONE,ObvPl,onaanenzhishiwaa',w<<naan>>enzhishiwaa',JDN-2010-Nouns,onaanenzhishiwaan,w<<naan>>enzhishiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,Pej,NONE,ObvPl,onaanenzhishini,w<<naan>>enzhishiniw1,JDN-2010-Nouns,onaanenzhishini,w<<naan>>enzhishiniw1,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,Pej,NONE,ObvPl,onaanenzhishini,w<<naan>>enzhishiniw1,GUESS,onaanenzhishini,w<<naan>>enzhishiniw1,GUESS
NAD,NAD_C,naan,naan,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,ninaanima',n<<naan>>ima',JDN-2010-Nouns,ninaaniman,n<<naan>>iman,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,NONE,Poss,NONE,NONE,ObvPl,ninaaniminaani',n<<naan>>iminaani',JDN-2010-Nouns,ninaaniminaanin,n<<naan>>iminaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,NONE,Poss,NONE,NONE,ObvPl,ginaaniminaani',g<<naan>>iminaani',JDN-2010-Nouns,ginaaniminaanin,g<<naan>>iminaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,NONE,Poss,NONE,NONE,ObvPl,ginaanima',g<<naan>>ima',JDN-2010-Nouns,ginaaniman,g<<naan>>iman,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,ginaanimiwaa',g<<naan>>imiwaa',JDN-2010-Nouns,ginaanimiwaan,g<<naan>>imiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,Poss,NONE,NONE,ObvPl,onaanima',w<<naan>>ima',JDN-2010-Nouns,onaaniman,w<<naan>>iman,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,Poss,NONE,NONE,ObvPl,onaanimiwaa',w<<naan>>imiwaa',JDN-2010-Nouns,onaanimiwaan,w<<naan>>imiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,Poss,NONE,NONE,ObvPl,onaanimini,w<<naan>>iminiw1,JDN-2010-Nouns,onaanimini,w<<naan>>iminiw1,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,Poss,NONE,NONE,ObvPl,onaanimini,w<<naan>>iminiw1,GUESS,onaanimini,w<<naan>>iminiw1,GUESS
NAD,NAD_C,naan,naan,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,ninaanensima',n<<naan>>ensima',JDN-2010-Nouns,ninaanensiman,n<<naan>>ensiman,JDN-2010-Nouns
NAD,NAD_C,naan,naan,ExclPoss,Dim,Poss,NONE,NONE,ObvPl,ninaanensiminaani',n<<naan>>ensiminaani',JDN-2010-Nouns,ninaanensiminaanin,n<<naan>>ensiminaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,InclPoss,Dim,Poss,NONE,NONE,ObvPl,ginaanensiminaani',g<<naan>>ensiminaani',JDN-2010-Nouns,ginaanensiminaanin,g<<naan>>ensiminaanin,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2SgPoss,Dim,Poss,NONE,NONE,ObvPl,ginaanensima',g<<naan>>ensima',JDN-2010-Nouns,ginaanensiman,g<<naan>>ensiman,JDN-2010-Nouns
NAD,NAD_C,naan,naan,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,ginaanensimiwaa',g<<naan>>ensimiwaa',JDN-2010-Nouns,ginaanensimiwaan,g<<naan>>ensimiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,Poss,NONE,NONE,ObvPl,onaanensima',w<<naan>>ensima',JDN-2010-Nouns,onaanensiman,w<<naan>>ensiman,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,Poss,NONE,NONE,ObvPl,onaanensimiwaa',w<<naan>>ensimiwaa',JDN-2010-Nouns,onaanensimiwaan,w<<naan>>ensimiwaan,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,Poss,NONE,NONE,ObvPl,onaanensimini,w<<naan>>ensiminiw1,JDN-2010-Nouns,onaanensimini,w<<naan>>ensiminiw1,JDN-2010-Nouns
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,Poss,NONE,NONE,ObvPl,onaanensimini,w<<naan>>ensiminiw1,GUESS,onaanensimini,w<<naan>>ensiminiw1,GUESS
NAD,NAD_C,naan,naan,1SgPoss,NONE,Poss,Pej,NONE,ObvPl,ninaanimisha',n<<naan>>imisha',JDN-2010-Nouns,ninaanimishan,n<<naan>>imishan,JDN-2010-Nouns
